,Word,Times,Negative,Neutral,Positive,Compound,Classify,Value
325,join,1456,0.0,0.0,1.0,0.296,Positive,1.0
326,reporter,1453,0.0,1.0,0.0,0.0,Neutral,0.0
327,de,1450,0.0,1.0,0.0,0.0,Neutral,0.0
328,board,1448,0.0,1.0,0.0,0.0,Neutral,0.0
329,pass,1446,0.0,1.0,0.0,0.0,Neutral,0.0
330,worker,1444,0.0,1.0,0.0,0.0,Neutral,0.0
331,idea,1444,0.0,1.0,0.0,0.0,Neutral,0.0
332,senior,1442,0.0,1.0,0.0,0.0,Neutral,0.0
333,legal,1440,0.0,0.0,1.0,0.128,Positive,1.0
334,moment,1437,0.0,1.0,0.0,0.0,Neutral,0.0
335,california,1434,0.0,1.0,0.0,0.0,Neutral,0.0
336,require,1431,0.0,1.0,0.0,0.0,Neutral,0.0
337,free,1431,0.0,0.0,1.0,0.5106,Positive,1.0
338,gain,1430,0.0,0.0,1.0,0.5267,Positive,1.0
339,july,1428,0.0,1.0,0.0,0.0,Neutral,0.0
340,respond,1425,0.0,1.0,0.0,0.0,Neutral,0.0
341,current,1424,0.0,1.0,0.0,0.0,Neutral,0.0
342,mark,1423,0.0,1.0,0.0,0.0,Neutral,0.0
343,lawyer,1418,0.0,1.0,0.0,0.0,Neutral,0.0
344,quarter,1416,0.0,1.0,0.0,0.0,Neutral,0.0
345,learn,1413,0.0,1.0,0.0,0.0,Neutral,0.0
346,organization,1406,0.0,1.0,0.0,0.0,Neutral,0.0
347,drop,1402,1.0,0.0,0.0,-0.2732,Negative,-1.0
348,relationship,1399,0.0,1.0,0.0,0.0,Neutral,0.0
349,agree,1394,0.0,0.0,1.0,0.3612,Positive,1.0
350,employee,1394,0.0,1.0,0.0,0.0,Neutral,0.0
351,father,1394,0.0,1.0,0.0,0.0,Neutral,0.0
352,couple,1393,0.0,1.0,0.0,0.0,Neutral,0.0
353,request,1391,0.0,1.0,0.0,0.0,Neutral,0.0
354,letter,1390,0.0,1.0,0.0,0.0,Neutral,0.0
355,district,1390,0.0,1.0,0.0,0.0,Neutral,0.0
356,drive,1388,0.0,1.0,0.0,0.0,Neutral,0.0
357,primary,1388,0.0,1.0,0.0,0.0,Neutral,0.0
